D:\0 ICPMS Data\User Data\M Beeskow\21_08_25_Qtz.b\21_08_25_a03.d
Intensity Vs Time,CPS
Acquired      : 25/08/2021 10:09:11 using Batch 21_08_25_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3449,450.01,0.00,300.00,320482.47,7902.15,45370.74,150.00,300.00,13156.06,9503.17,600.01,400.01,1250.06,100.00,650.02
0.6449,350.00,50.00,50.00,285160.42,7501.93,41057.93,100.00,50.00,11904.96,9403.10,950.03,450.01,1750.11,50.00,700.02
0.9449,300.00,0.00,0.00,303423.41,11904.87,40355.97,100.00,150.00,12455.43,10954.21,650.01,150.00,1600.09,150.00,300.00
1.2449,350.00,0.00,50.00,288015.72,8402.43,35944.41,50.00,150.00,12955.87,9553.20,500.01,450.01,1700.10,100.00,550.01
1.5450,450.01,0.00,50.00,286384.06,9903.37,38551.08,200.00,200.00,12255.26,9903.44,400.01,150.00,1100.04,200.00,500.01
1.8450,400.01,0.00,250.00,288117.70,8402.43,34240.30,250.00,250.00,11554.67,10203.65,750.02,250.00,1050.04,150.00,650.02
2.1450,300.00,0.00,150.00,306078.00,8902.72,36144.91,150.00,100.00,12655.61,8702.66,850.03,400.01,1700.10,250.00,500.01
2.4450,550.01,0.00,50.00,295768.55,7501.93,37247.69,200.00,100.00,11604.71,9653.27,750.02,500.01,1700.10,150.00,450.01
2.7450,200.00,0.00,50.00,286689.99,13306.08,38551.08,150.00,150.00,11854.92,10353.76,750.02,400.01,1350.06,150.00,750.02
3.0450,300.00,0.00,50.00,304852.76,5801.16,33839.36,50.00,200.00,12005.04,8852.75,500.01,350.00,1700.10,250.00,700.02
3.3450,250.00,0.00,50.00,297809.47,5901.20,37648.72,100.00,150.00,11354.51,9703.30,600.01,500.01,1600.09,0.00,550.01
3.6451,450.01,100.00,150.00,324162.45,10503.79,35643.67,100.00,100.00,12955.87,9903.44,500.01,300.00,1700.10,350.00,750.02
3.9451,450.01,50.00,100.00,304035.96,7902.15,38350.55,150.00,200.00,12155.17,10153.61,700.02,700.02,1350.06,150.00,500.01
4.2451,350.00,0.00,50.00,290361.55,8002.20,38751.61,200.00,200.00,11254.43,10153.61,750.02,500.01,2100.16,250.00,550.01
4.5451,600.01,0.00,350.00,299136.21,10003.44,33438.44,50.00,100.00,11904.96,8952.81,500.01,350.00,1700.10,100.00,550.01
4.8451,550.01,0.00,100.00,295666.53,10904.08,38551.08,100.00,200.00,12805.74,10653.98,900.03,250.00,1300.06,500.01,800.02
5.1451,550.01,50.00,0.00,311695.09,10103.51,36044.66,50.00,150.00,12355.34,9653.27,650.01,250.00,1250.06,150.00,700.02
5.4451,400.01,0.00,100.00,301687.96,8402.43,38049.76,200.00,250.00,12255.26,10353.76,500.01,350.00,1550.09,150.00,200.00
5.7452,500.01,0.00,100.00,285466.33,11004.16,33939.60,50.00,100.00,11704.80,11654.76,400.01,350.00,1800.11,200.00,400.01
6.0452,350.00,50.00,200.00,293829.98,13105.90,37047.18,100.00,150.00,12855.78,9152.94,700.02,200.00,1150.05,100.00,350.00
6.3452,350.00,0.00,0.00,283834.96,7702.04,38551.08,250.00,100.00,11554.67,9303.03,350.00,300.00,1650.10,300.00,550.01
6.6452,200.00,0.00,50.00,300769.26,8202.31,39052.42,400.01,250.00,11404.55,9002.84,350.00,700.02,1450.07,250.00,700.02
6.9452,600.01,0.00,100.00,270077.42,7001.68,40355.97,300.00,50.00,12755.69,10603.94,550.01,200.00,1550.09,150.00,500.01
7.2452,300.00,0.00,150.00,288423.66,7501.93,38751.61,250.00,100.00,10653.97,9503.17,450.01,450.01,1950.13,250.00,300.00
7.5453,900.03,50.00,50.00,277718.90,10103.51,35443.18,150.00,50.00,11254.43,10553.90,300.00,300.00,1850.12,150.00,400.01
7.8453,350.00,0.00,100.00,273337.30,8702.60,37849.24,50.00,50.00,13256.15,10103.58,850.03,650.01,1450.07,150.00,900.03
8.1453,200.00,0.00,100.00,293217.85,14106.84,38851.88,100.00,150.00,12505.47,9403.10,750.02,500.01,1600.09,300.00,500.01
8.4453,100.00,50.00,100.00,290871.56,8402.43,36044.66,250.00,50.00,11854.92,9503.17,700.02,400.01,1850.12,0.00,450.01
8.7453,350.00,0.00,50.00,293523.90,8602.54,35543.43,50.00,50.00,13256.15,11054.28,600.01,250.00,1650.10,300.00,600.01
9.0453,450.01,50.00,50.00,326411.79,8302.37,38751.61,200.00,200.00,11704.80,10153.61,400.01,350.00,1750.11,250.00,600.01
9.3453,300.00,50.00,300.00,289749.56,12605.46,42461.97,0.00,200.00,11904.96,9403.10,450.01,400.01,1800.11,200.00,250.00
9.6454,450.01,100.00,100.00,294748.22,10203.58,36245.16,200.00,100.00,12005.04,9653.27,750.02,400.01,950.03,150.00,700.02
9.9454,550.01,0.00,200.00,284140.82,9603.17,38851.88,200.00,50.00,11754.84,11004.24,400.01,450.01,1700.10,100.00,900.03
10.2454,350.00,0.00,50.00,300973.41,7902.15,38551.08,200.00,150.00,11554.67,9903.44,350.00,400.01,1350.06,150.00,850.03
10.5454,600.01,100.00,0.00,313738.21,9503.10,39954.87,50.00,100.00,11704.80,9353.07,750.02,350.00,1450.07,100.00,550.01
10.8454,450.01,50.00,0.00,284548.66,8202.31,38551.08,150.00,150.00,11754.84,9603.23,400.01,350.00,1500.08,200.00,850.03
11.1454,200.00,100.00,100.00,304342.24,6601.50,35643.67,50.00,100.00,10754.05,10003.51,800.02,0.00,1600.09,300.00,400.01
11.4454,400.01,0.00,100.00,285568.29,6501.45,35643.67,150.00,150.00,11854.92,9052.87,400.01,300.00,1950.13,200.00,750.02
11.7455,600.01,50.00,50.00,329990.99,11004.16,36946.92,150.00,150.00,12305.30,12055.09,650.01,250.00,1850.12,150.00,350.00
12.0455,250.00,50.00,50.00,291585.62,10503.79,35844.17,250.00,0.00,10954.20,9603.23,500.01,250.00,1800.11,100.00,650.02
12.3455,300.00,50.00,50.00,280266.94,11804.79,41659.65,0.00,300.00,11854.92,10003.51,550.01,500.01,1850.12,250.00,600.01
12.6455,400.01,0.00,250.00,294034.03,7201.78,40055.14,100.00,100.00,10904.16,11554.68,800.02,400.01,1850.12,300.00,650.02
12.9455,300.00,0.00,50.00,294544.17,8202.31,40857.37,200.00,200.00,12305.30,9152.94,1000.04,450.01,1550.09,50.00,550.01
13.2455,350.00,50.00,50.00,312308.01,15207.95,35844.17,0.00,200.00,12655.61,11604.72,450.01,450.01,2050.15,450.01,700.02
13.5456,450.01,0.00,50.00,307099.15,6401.41,33237.98,100.00,100.00,11704.80,9803.37,750.02,450.01,1550.09,300.00,800.02
13.8456,350.00,0.00,150.00,294238.09,9803.30,37748.98,100.00,100.00,11104.32,9002.84,600.01,550.01,1800.11,300.00,450.01
14.1456,450.01,0.00,50.00,298421.80,8102.26,37748.98,150.00,200.00,12955.87,10453.83,900.03,450.01,2050.15,400.01,450.01
14.4456,350.00,0.00,200.00,283936.91,8802.66,37949.50,50.00,100.00,11554.67,10003.51,450.01,300.00,1800.11,300.00,500.01
14.7456,450.01,50.00,200.00,262745.31,8002.20,35543.43,100.00,150.00,12105.13,10003.51,450.01,300.00,2150.16,200.00,600.01
15.0456,500.01,0.00,50.00,282305.71,9002.78,35844.17,50.00,100.00,12205.21,9803.37,650.01,400.01,1450.07,50.00,650.02
15.3456,250.00,0.00,50.00,295462.45,8302.37,31734.62,200.00,100.00,11504.63,9353.07,500.01,150.00,1250.06,100.00,450.01
15.6457,400.01,0.00,50.00,278636.16,9503.10,42562.26,100.00,50.00,11254.43,10053.54,1100.04,550.01,1750.11,450.01,1050.04
15.9457,300.00,50.00,150.00,283834.96,10804.01,38952.15,250.00,250.00,10904.16,10053.54,200.00,400.01,1350.06,100.00,650.02
16.2457,300.00,50.00,150.00,276903.61,33939.54,36545.91,200.00,50.00,12355.34,10103.58,250.00,650.01,1900.13,100.00,450.01
16.5457,250.00,0.00,100.00,307099.15,8002.20,39052.42,100.00,200.00,14157.01,9503.17,700.02,350.00,1400.07,200.00,600.01
