D:\0 ICPMS Data\User Data\M Beeskow\21_08_25_Qtz.b\21_08_25_d18.d
Intensity Vs Time,CPS
Acquired      : 25/08/2021 15:48:04 using Batch 21_08_25_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3446,500.01,50.00,50.00,238026.39,3100.33,25121.70,100.00,0.00,8852.74,7552.00,0.00,0.00,650.01,50.00,50.00
0.6446,250.00,0.00,50.00,236908.42,2300.18,24620.85,50.00,150.00,7802.13,8602.59,0.00,0.00,1250.06,100.00,150.00
0.9446,0.00,0.00,50.00,243719.26,1700.10,26223.65,100.00,0.00,9102.90,8702.66,0.00,0.00,1200.05,0.00,50.00
1.2446,150.00,0.00,100.00,233758.20,3400.40,28227.40,50.00,50.00,8602.59,8102.30,0.00,0.00,1300.06,100.00,50.00
1.5446,450.01,100.00,150.00,236908.42,3800.50,26023.29,50.00,50.00,9102.90,8152.33,0.00,0.00,1100.04,50.00,50.00
1.8446,300.00,50.00,100.00,235485.64,3600.45,26123.47,100.00,100.00,9603.23,9002.84,0.00,0.00,900.03,50.00,100.00
2.1447,350.00,50.00,50.00,234164.65,3700.47,26924.93,100.00,100.00,9603.23,9202.97,50.00,0.00,950.03,50.00,0.00
2.4447,300.00,0.00,100.00,232234.13,3100.33,28427.79,50.00,200.00,7902.19,8852.75,0.00,0.00,850.03,0.00,0.00
2.7447,200.00,0.00,100.00,237010.03,2800.27,27826.62,0.00,100.00,8402.47,8602.59,0.00,0.00,1100.04,50.00,0.00
3.0447,200.00,0.00,50.00,237111.67,3000.31,26223.65,50.00,100.00,8452.50,9403.10,0.00,0.00,750.02,0.00,50.00
3.3447,300.00,0.00,100.00,230100.73,2500.21,26323.83,50.00,200.00,7802.13,9303.03,0.00,0.00,750.02,0.00,0.00
3.6447,350.00,0.00,0.00,238128.03,3100.33,23619.18,50.00,50.00,8002.24,9553.20,50.00,0.00,750.02,0.00,100.00
3.9447,200.00,0.00,100.00,235993.77,3400.40,25021.53,0.00,0.00,8552.56,7401.92,50.00,0.00,700.02,0.00,50.00
4.2448,250.00,0.00,0.00,233656.59,3500.42,30331.63,0.00,200.00,9803.36,7852.16,0.00,0.00,1200.05,0.00,150.00
4.5448,200.00,0.00,50.00,232132.54,3600.45,27726.43,200.00,100.00,8602.59,9052.87,50.00,0.00,700.02,0.00,50.00
4.8448,300.00,0.00,0.00,231624.56,2500.21,24721.01,50.00,50.00,8502.53,7852.16,0.00,0.00,1350.06,0.00,50.00
5.1448,650.01,0.00,150.00,235180.79,3500.42,25322.05,50.00,250.00,7802.13,8402.47,0.00,0.00,1200.05,100.00,50.00
5.4448,250.00,0.00,0.00,243515.89,3400.40,24320.34,0.00,100.00,9303.03,8302.42,0.00,0.00,850.03,0.00,100.00
5.7448,300.00,0.00,50.00,234164.65,2400.20,24821.19,50.00,100.00,7301.87,8552.56,0.00,0.00,1200.05,50.00,150.00
6.0448,100.00,0.00,50.00,239347.75,3600.45,25622.58,0.00,50.00,8452.50,8952.81,0.00,50.00,950.03,50.00,0.00
6.3449,150.00,50.00,0.00,242600.83,2800.27,28027.01,50.00,100.00,8202.36,8152.33,0.00,0.00,1000.04,0.00,100.00
6.6449,200.00,0.00,0.00,235587.28,3000.31,26624.37,150.00,100.00,8952.81,8452.50,0.00,0.00,1100.04,0.00,0.00
6.9449,150.00,0.00,50.00,237518.21,3400.40,26424.01,100.00,200.00,9002.84,8252.39,0.00,0.00,1100.04,0.00,100.00
7.2449,250.00,50.00,150.00,237619.85,3000.31,25221.88,100.00,100.00,7351.89,9803.37,0.00,0.00,950.03,0.00,50.00
7.5449,250.00,0.00,50.00,235079.17,3000.31,25422.22,0.00,250.00,7451.94,8752.69,0.00,0.00,1050.04,0.00,0.00
7.8449,50.00,0.00,0.00,234367.87,3300.37,26323.83,0.00,300.00,8002.24,9403.10,0.00,0.00,800.02,0.00,50.00
8.1450,350.00,0.00,100.00,231218.19,2900.29,26724.56,50.00,150.00,8352.44,8402.47,50.00,0.00,900.03,150.00,150.00
8.4450,350.00,0.00,100.00,228373.90,1900.12,24921.36,100.00,150.00,8452.50,9853.40,0.00,0.00,850.03,0.00,100.00
8.7450,200.00,0.00,100.00,240059.30,2400.20,24420.51,0.00,150.00,8452.50,9253.00,100.00,0.00,1250.06,0.00,50.00
9.0450,300.00,0.00,50.00,239246.09,3100.33,27526.05,0.00,200.00,7301.87,8952.81,0.00,0.00,800.02,0.00,100.00
9.3450,300.00,0.00,100.00,239856.01,2800.27,23919.67,50.00,100.00,9353.06,9052.87,50.00,0.00,900.03,0.00,50.00
9.6450,400.01,0.00,50.00,238839.53,3500.42,25322.05,50.00,100.00,8152.33,7952.22,0.00,0.00,1100.04,0.00,50.00
9.9450,500.01,0.00,0.00,230811.84,2800.27,26724.56,50.00,250.00,8352.44,7652.05,0.00,0.00,1000.04,0.00,50.00
10.2451,250.00,0.00,50.00,233046.95,3400.40,27025.11,100.00,50.00,7802.13,8802.72,50.00,0.00,1150.05,0.00,100.00
10.5451,350.00,0.00,0.00,238331.32,2200.17,23318.70,50.00,150.00,8302.41,8102.30,0.00,0.00,750.02,0.00,50.00
10.8451,600.01,0.00,50.00,234266.24,1800.11,24220.17,100.00,50.00,8802.71,9202.97,0.00,0.00,1050.04,0.00,100.00
11.1451,400.01,0.00,50.00,236603.52,4000.55,27025.11,150.00,150.00,8952.81,9002.84,50.00,0.00,850.03,0.00,50.00
11.4451,150.00,0.00,50.00,240872.56,2400.20,26323.83,100.00,50.00,8252.38,9603.23,0.00,0.00,1100.04,0.00,150.00
11.7451,350.00,0.00,100.00,233351.76,3200.35,26924.93,50.00,300.00,8652.62,8802.72,0.00,0.00,700.02,50.00,100.00
12.0451,450.01,0.00,50.00,238128.03,3100.33,23218.54,50.00,150.00,7752.10,6751.60,0.00,50.00,700.02,0.00,50.00
12.3452,250.00,0.00,50.00,229084.91,1500.08,24620.85,50.00,50.00,8502.53,8652.62,50.00,0.00,1050.04,0.00,0.00
12.6452,200.00,0.00,100.00,239246.09,3600.45,24821.19,0.00,100.00,8602.59,9253.00,0.00,0.00,700.02,0.00,100.00
12.9452,300.00,0.00,0.00,233046.95,2900.29,27325.67,50.00,100.00,8702.65,8802.72,0.00,50.00,700.02,0.00,150.00
13.2452,400.01,0.00,100.00,242600.83,3200.35,26524.19,0.00,50.00,8302.41,9353.07,50.00,0.00,850.03,0.00,200.00
13.5452,450.01,0.00,50.00,233758.20,2700.25,21515.92,100.00,150.00,9453.13,7752.11,50.00,0.00,750.02,100.00,100.00
13.8452,100.00,0.00,50.00,230405.49,4000.55,24019.84,0.00,100.00,9603.23,8702.66,0.00,50.00,700.02,0.00,50.00
14.1453,50.00,0.00,0.00,231421.36,3100.33,25221.88,50.00,50.00,8902.77,9202.97,0.00,0.00,900.03,50.00,150.00
14.4453,250.00,0.00,0.00,235587.28,2800.27,26023.29,100.00,50.00,7852.16,9253.00,0.00,0.00,1000.04,0.00,0.00
14.7453,250.00,100.00,50.00,224514.67,2800.27,26924.93,50.00,0.00,9152.93,8352.45,0.00,0.00,950.03,50.00,250.00
15.0453,300.00,0.00,150.00,229795.97,3600.45,24320.34,200.00,250.00,9553.20,9803.37,0.00,50.00,950.03,0.00,0.00
15.3453,300.00,0.00,50.00,230507.06,3800.50,25822.93,100.00,150.00,8852.74,9202.97,0.00,0.00,550.01,50.00,50.00
15.6453,300.00,0.00,100.00,241075.88,2900.29,26824.74,100.00,100.00,9052.87,8302.42,100.00,0.00,1550.09,50.00,150.00
15.9453,300.00,0.00,0.00,236197.02,2700.25,46072.94,50.00,150.00,8552.56,7952.22,0.00,0.00,900.03,50.00,0.00
16.2454,200.00,0.00,0.00,231522.97,3100.33,22216.98,150.00,150.00,7702.08,10153.61,50.00,0.00,700.02,50.00,200.00
16.5454,150.00,0.00,50.00,238839.53,3200.35,23218.54,50.00,50.00,8652.62,9653.27,0.00,0.00,600.01,50.00,0.00
16.8454,500.01,0.00,100.00,243719.26,3500.42,26323.83,100.00,200.00,8502.53,9152.94,0.00,0.00,1250.06,50.00,50.00
17.1454,350.00,0.00,0.00,234977.56,3500.42,60023.74,250.00,0.00,7652.05,8502.53,0.00,0.00,1200.05,0.00,50.00
